scientific_name,accession,assembly_name
Acinetobacter baumannii,GCF_009035845.1,ASM903584v1
Bordetella pertussis,GCF_004008975.1,ASM400897v1
Burkholderia cepacia,GCF_009586235.1,ASM958623v1
Burkholderia mallei,GCF_033956065.1,ASM3395606v1
Burkholderia pseudomallei,GCF_030297255.1,ASM3029725v1
Campylobacter bilis,GCF_041735015.1,Iowa-C.bilis 2
Campylobacter canis,GCF_045504005.1,ASM4550400v1
Campylobacter felis,GCF_030250085.1,ASM3025008v1
Campylobacter gastrosuis,GCF_030249845.1,ASM3024984v1
Campylobacter magnus,GCF_028649595.1,ASM2864959v1
Campylobacter suis,GCF_905120475.1,LMG 8286
Campylobacter majalis,GCF_905120465.1,LMG 7974
Campylobacter molothri,GCF_020136095.1,ASM2013609v1
Campylobacter novaezeelandiae,GCF_018968685.1,ASM1896868v1
Campylobacter anatolicus,GCF_018145655.1,ASM1814565v1
Campylobacter massiliensis,GCF_014253065.1,ASM1425306v1
Campylobacter vulpis,GCF_014217995.1,ASM1421799v1
Campylobacter fetus,GCF_011600945.2,ASM1160094v2
Candidatus Campylobacter infans,GCF_013416015.1,ASM1341601v1
Campylobacter upsaliensis,GCF_013372245.1,ASM1337224v1
Campylobacter ureolyticus,GCF_013372225.1,ASM1337222v1
Campylobacter mucosalis,GCF_013372205.1,ASM1337220v1
Campylobacter hyointestinalis,GCF_013372165.1,ASM1337216v1
Campylobacter curvus,GCF_013372125.1,ASM1337212v1
Campylobacter armoricus,GCF_013372105.1,ASM1337210v1
Campylobacter blaseri,GCF_013201895.1,ASM1320189v1
Campylobacter geochelonis,GCF_013201685.1,ASM1320168v1
Campylobacter corcagiensis,GCF_013201645.1,ASM1320164v1
Campylobacter ornithocola,GCF_013201605.1,ASM1320160v1
Campylobacter canadensis,GCF_013177655.1,ASM1317765v1
Campylobacter coli,GCF_009730395.1,ASM973039v1
Campylobacter portucalensis,GCF_009690845.1,ASM969084v1
Campylobacter volucris,GCF_008245045.1,ASM824504v1
Campylobacter lari,GCF_008245025.1,ASM824502v1
Campylobacter sputorum,GCF_008245005.1,ASM824500v1
Campylobacter troglodytis,GCF_006864425.1,ASM686442v1
Campylobacter taeniopygiae,GCF_005406225.1,ASM540622v1
Campylobacter estrildidarum,GCF_005406205.1,ASM540620v1
Campylobacter aviculae,GCF_005406215.1,ASM540621v1
Campylobacter californiensis,GCF_004803835.1,ASM480383v1
Campylobacter showae,GCF_004803815.1,ASM480381v1
Campylobacter rectus,GCF_004803795.1,ASM480379v1
Campylobacter hepaticus,GCF_001687475.2,ASM168747v2
Campylobacter avium,GCF_002238335.1,ASM223833v1
Campylobacter lanienae,GCF_002139935.1,ASM213993v1
Campylobacter devanensis,GCF_002139915.1,ASM213991v1
Campylobacter vicugnae,GCF_002139875.1,ASM213987v1
Campylobacter porcelli,GCF_002139855.1,ASM213985v1
Campylobacter cuniculorum,GCF_002104335.1,ASM210433v1
Campylobacter helveticus,GCF_002080395.1,ASM208039v1
Campylobacter pinnipediorum,GCF_002021985.1,ASM202198v1
Campylobacter concisus,GCF_001298465.1,ASM129846v1
Campylobacter gracilis,GCF_001190745.1,ASM119074v1
Campylobacter peloridis,GCF_000816785.1,ASM81678v1
Campylobacter subantarcticus,GCF_000816305.1,ASM81630v1
Campylobacter insulaenigrae,GCF_000816185.1,ASM81618v1
Campylobacter iguaniorum,GCF_000736415.1,ASM73641v1
Campylobacter hominis,GCF_000017585.1,ASM1758v1
Campylobacter jejuni,GCF_000009085.1,ASM908v1
Citrobacter freundii,GCF_904859905.1,MSB1_1H
Clostridioides difficile,GCF_018885085.1,ASM1888508v1
Corynebacterium diphtheriae,GCF_001457455.1,NCTC11397
