Scientific_name,RefSeq ID
Aggregatibacter actinomycetemcomitans ,GCF_023518055.1
Acinetobacter baumannii (Semafor/Oxford) ,GCF_009035845.1
Acinetobacter baumannii (Pasteur) ,GCF_009035845.1
Achromobacter spp. ,GCF_037619525.1
Actinobacillus pleuropneumoniae ,GCF_003290385.1
Aeromonas spp. ,GCF_049665575.1
Avibacterium paragallinarum ,GCF_011765605.1
Anaplasma phagocytophilum ,GCF_000964685.1
Arcobacter spp. ,GCF_042214795.1
Bartonella bacilliformis ,GCF_000015445.1
Burkholderia cepacia complex ,GCF_009586235.1
Bacillus cereus ,GCF_006094295.1
Bacteroides fragilis ,GCF_000025985.1
Bartonella henselae ,GCF_019930925.1
Bacillus licheniformis ,GCF_034478925.1
Bordetella spp. ,GCF_965139205.1
Borrelia burgdorferi sensu lato ,GCF_032595875.2
Burkholderia pseudomallei ,GCF_030297255.1
Brachyspira pilosicoli ,GCF_000143725.1
Brachyspira hyodysenteriae ,GCF_001676785.2
Brachyspira intermedia ,GCF_000223215.1
Brachyspira pilosicoli ,GCF_000143725.1
Brachyspira hampsonii ,GCF_000316195.1
Brucella spp. ,GCF_965577835.1
Bacillus subtilis ,GCF_000009045.1
Bartonella washoensis ,GCF_000278135.1
Campylobacter jejuni / C. coli ,GCF_000009085.1
Campylobacter helveticus ,GCF_002080395.1
Campylobacter insulaenigrae ,GCF_000816185.1
Campylobacter lari ,GCF_008245025.1
Campylobacter upsaliensis ,GCF_013372245.1
Campylobacter coli ,GCF_009730395.1
Campylobacter hyointestinalis ,GCF_013372165.1
Campylobacter lanienae ,GCF_002139935.1
Campylobacter sputorum ,GCF_008245005.1
Campylobacter fetus ,GCF_011600945.2
Clostridium botulinum ,GCF_000063585.1
Clostridioides difficile ,GCF_018885085.1
Corynebacterium diphtheriae ,GCF_001457455.1
Citrobacter freundii ,GCF_904859905.1
Chlamydiales (Order) ,GCF_040235295.1
Carnobacterium maltaromaticum ,GCF_949790605.1
Clostridium perfringens ,GCF_016027375.1
Cronobacter spp. ,GCF_041222865.1
Clostridium septicum ,GCF_003606265.1
Dichelobacter nodosus ,GCF_000015345.1
Enterobacter cloacae complex ,GCF_039718975.1
Escherichia coli ,GCF_000008865.2
Escherichia coli (Achtman scheme) ,GCF_000008865.2
Edwardsiella spp. ,GCF_021733145.1
Enterococcus faecalis ,GCF_000393015.1
Enterococcus faecium ,GCF_009734005.1
Flavobacterium psychrophilum ,GCF_000754405.1
Gallibacterium anatis ,GCF_000772265.1
Geotrichum candidum ,GCA_013365045.1
Halobacteria (Class) ,GCF_055379965.1
Helicobacter cinaedi ,GCF_000284635.1
Helicobacter pylori ,GCF_025998455.1
Haemophilus influenzae ,GCF_020736045.1
Haemophilus parasuis (Glaesserella) ,GCF_017352235.1
